course	section	lesson	file	has_mermaid	has_non_mermaid_snippet	priority	reason
iOS	00-core-mobile	Core Mobile Architecture	00-core-mobile/00-introduccion.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Marco de decisiones arquitectónicas	00-core-mobile/01-marco-de-decisiones.md	yes	yes	P2	ok
iOS	00-core-mobile	Invariantes y contratos	00-core-mobile/02-invariantes-y-contratos.md	yes	yes	P2	ok
iOS	00-core-mobile	Variabilidad y evolución sin caos	00-core-mobile/03-variabilidad-y-evolucion.md	yes	yes	P2	ok
iOS	00-core-mobile	Calidad PR-ready	00-core-mobile/04-calidad-pr-ready.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Observabilidad y operación	00-core-mobile/05-observabilidad-operacion.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Release, rollback y feature flags	00-core-mobile/06-release-rollback-flags.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	APIs, contratos y versionado	00-core-mobile/07-apis-contratos-versionado.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Seguridad, privacidad y threat modeling	00-core-mobile/08-seguridad-privacidad-threat-modeling.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Dependency governance y supply chain	00-core-mobile/09-dependency-governance-supply-chain.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Plantillas operativas (con ejemplos reales)	00-core-mobile/10-plantillas.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Crosswalk iOS ↔ Android	00-core-mobile/11-crosswalk-ios-android.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	1) Purpose of This Document	00-core-mobile/12-mobile-architect-parity-ios-android.md	no	no	P0	missing_mermaid_and_snippet
iOS	00-core-mobile	Changelog	00-core-mobile/CHANGELOG.md	no	no	P0	missing_mermaid_and_snippet
iOS	01-fundamentos	Introducción al curso	01-fundamentos/00-introduccion.md	yes	yes	P2	ok
iOS	01-fundamentos	Setup: Preparación del entorno	01-fundamentos/00-setup.md	no	yes	P1	missing_mermaid
iOS	01-fundamentos	Principios de ingeniería	01-fundamentos/01-principios-ingenieria.md	yes	yes	P2	ok
iOS	01-fundamentos	Metodología BDD: especificación y descubrimiento	01-fundamentos/02-metodologia-bdd-tdd.md	yes	yes	P2	ok
iOS	01-fundamentos	Metodología TDD: práctica Red-Green-Refactor	01-fundamentos/02-metodologia-tdd-practica.md	yes	yes	P2	ok
iOS	01-fundamentos	Stack tecnológico	01-fundamentos/03-stack-tecnologico.md	yes	yes	P2	ok
iOS	01-fundamentos	Estructura Feature-First: paso a paso en Xcode	01-fundamentos/04-estructura-feature-first.md	yes	yes	P2	ok
iOS	01-fundamentos	Feature Login: Especificación BDD	01-fundamentos/05-feature-login/00-especificacion-bdd.md	yes	yes	P2	ok
iOS	01-fundamentos	Feature Login: Capa Domain	01-fundamentos/05-feature-login/01-domain.md	yes	yes	P2	ok
iOS	01-fundamentos	Feature Login: Capa Application	01-fundamentos/05-feature-login/02-application.md	yes	yes	P2	ok
iOS	01-fundamentos	Feature Login: Capa Infrastructure	01-fundamentos/05-feature-login/03-infrastructure.md	yes	yes	P2	ok
iOS	01-fundamentos	Feature Login: Capa Interface (SwiftUI)	01-fundamentos/05-feature-login/04-interface-swiftui.md	yes	yes	P2	ok
iOS	01-fundamentos	Feature Login: Retrospectiva del ciclo TDD completo	01-fundamentos/05-feature-login/05-tdd-ciclo-completo.md	yes	yes	P2	ok
iOS	01-fundamentos	ADR-001: Diseño de la Feature Login	01-fundamentos/05-feature-login/ADR-001-login.md	no	no	P0	missing_mermaid_and_snippet
iOS	01-fundamentos	Conectando la App: Tu Primera App Funcional	01-fundamentos/06-conectando-la-app.md	no	yes	P1	missing_mermaid
iOS	01-fundamentos	Entregables — Etapa 1: Junior	01-fundamentos/entregables-etapa-1.md	no	yes	P1	missing_mermaid
iOS	02-integracion	Etapa 2: Integración — Dos features que trabajan juntas sin acoplarse	02-integracion/00-introduccion.md	yes	yes	P2	ok
iOS	02-integracion	Feature Catalog: Especificación BDD	02-integracion/01-feature-catalog/00-especificacion-bdd.md	yes	yes	P2	ok
iOS	02-integracion	Feature Catalog: Capa Domain	02-integracion/01-feature-catalog/01-domain.md	yes	yes	P2	ok
iOS	02-integracion	Feature Catalog: Capa Application	02-integracion/01-feature-catalog/02-application.md	yes	yes	P2	ok
iOS	02-integracion	Feature Catalog: Capa Infrastructure	02-integracion/01-feature-catalog/03-infrastructure.md	yes	yes	P2	ok
iOS	02-integracion	Feature Catalog: Capa Interface (SwiftUI)	02-integracion/01-feature-catalog/04-interface-swiftui.md	yes	yes	P2	ok
iOS	02-integracion	ADR-002: Diseño de la Feature Catalog	02-integracion/01-feature-catalog/ADR-002-catalog.md	yes	yes	P2	ok
iOS	02-integracion	Navegación por eventos: el AppCoordinator	02-integracion/02-navegacion-eventos.md	yes	yes	P2	ok
iOS	02-integracion	Contratos entre features	02-integracion/03-contratos-features.md	yes	yes	P2	ok
iOS	02-integracion	Infraestructura real: URLSessionHTTPClient	02-integracion/04-infra-real-network.md	yes	yes	P2	ok
iOS	02-integracion	Integration Tests	02-integracion/05-integration-tests.md	yes	yes	P2	ok
iOS	02-integracion	Composition Root: donde se ensambla todo	02-integracion/06-composition-root.md	yes	yes	P2	ok
iOS	02-integracion	SwiftUI Enterprise: Patrones Imprescindibles	02-integracion/07-swiftui-enterprise.md	yes	yes	P2	ok
iOS	02-integracion	Swift Concurrency Enterprise: Patrones Imprescindibles	02-integracion/08-swift-concurrency-enterprise.md	yes	yes	P2	ok
iOS	02-integracion	App Final Etapa 2: Login + Catalog Funcionando Juntos	02-integracion/09-app-final-etapa-2.md	yes	yes	P2	ok
iOS	02-integracion	Entregables — Etapa 2: Integración	02-integracion/entregables-etapa-2.md	yes	yes	P2	ok
iOS	03-evolucion	Etapa 3: Evolución — Resiliencia y calidad de producción	03-evolucion/00-introduccion.md	yes	yes	P2	ok
iOS	03-evolucion	Caching y offline	03-evolucion/01-caching-offline.md	yes	yes	P2	ok
iOS	03-evolucion	Consistencia e invalidación	03-evolucion/02-consistencia.md	yes	yes	P2	ok
iOS	03-evolucion	Observabilidad	03-evolucion/03-observabilidad.md	yes	yes	P2	ok
iOS	03-evolucion	Tests avanzados	03-evolucion/04-tests-avanzados.md	yes	yes	P2	ok
iOS	03-evolucion	Trade-offs y riesgos	03-evolucion/05-trade-offs.md	yes	yes	P2	ok
iOS	03-evolucion	SwiftData como ProductStore	03-evolucion/06-swiftdata-store.md	yes	yes	P2	ok
iOS	03-evolucion	Backend Firebase: integración enterprise	03-evolucion/07-backend-firebase.md	yes	yes	P2	ok
iOS	03-evolucion	Entregables — Etapa 3: Evolución	03-evolucion/entregables-etapa-3.md	yes	yes	P2	ok
iOS	04-arquitecto	Etapa 4: Arquitecto — Plataforma y gobernanza	04-arquitecto/00-introduccion.md	yes	yes	P2	ok
iOS	04-arquitecto	Bounded Contexts	04-arquitecto/01-bounded-contexts.md	yes	yes	P2	ok
iOS	04-arquitecto	Reglas de dependencia y CI	04-arquitecto/02-reglas-dependencia-ci.md	yes	yes	P2	ok
iOS	04-arquitecto	Navegación y deep links como plataforma	04-arquitecto/03-navegacion-deeplinks.md	yes	yes	P2	ok
iOS	04-arquitecto	Versionado y SPM	04-arquitecto/04-versionado-spm.md	yes	yes	P2	ok
iOS	04-arquitecto	Guía de arquitectura del repositorio	04-arquitecto/05-guia-arquitectura.md	yes	yes	P2	ok
iOS	04-arquitecto	Quality Gates	04-arquitecto/06-quality-gates.md	yes	yes	P2	ok
iOS	04-arquitecto	Entregables — Etapa 4: Arquitecto	04-arquitecto/entregables-etapa-4.md	no	yes	P1	missing_mermaid
iOS	05-maestria	Etapa 5 — Maestría: Concurrency, SwiftUI moderno y patrones de composición	05-maestria/00-introduccion.md	yes	yes	P2	ok
iOS	05-maestria	Isolation domains y Sendable	05-maestria/01-isolation-domains.md	yes	yes	P2	ok
iOS	05-maestria	Actors en arquitectura	05-maestria/02-actors-en-arquitectura.md	yes	yes	P2	ok
iOS	05-maestria	Structured concurrency	05-maestria/03-structured-concurrency.md	yes	yes	P2	ok
iOS	05-maestria	Testing concurrente	05-maestria/04-testing-concurrente.md	yes	yes	P2	ok
iOS	05-maestria	SwiftUI state moderno	05-maestria/05-swiftui-state-moderno.md	yes	yes	P2	ok
iOS	05-maestria	SwiftUI performance	05-maestria/06-swiftui-performance.md	yes	yes	P2	ok
iOS	05-maestria	Composición avanzada	05-maestria/07-composicion-avanzada.md	yes	yes	P2	ok
iOS	05-maestria	Memory leaks y diagnóstico	05-maestria/08-memory-leaks-y-diagnostico.md	yes	yes	P2	ok
iOS	05-maestria	Migración a Swift 6	05-maestria/09-migracion-swift6.md	yes	yes	P2	ok
iOS	05-maestria	Debugging en Xcode: Encuentra y arregla bugs como un profesional	05-maestria/10-debugging-xcode.md	no	yes	P1	missing_mermaid
iOS	05-maestria	Propósito y Alcance	05-maestria/10-rubrica-final/01-rubrica-empleabilidad-ios.md	no	no	P0	missing_mermaid_and_snippet
iOS	05-maestria	Evidencias obligatorias iOS (cierre defendible)	05-maestria/10-rubrica-final/02-evidencias-obligatorias-ios.md	no	no	P0	missing_mermaid_and_snippet
iOS	05-maestria	Checklist de entrega para entrevista (1 página)	05-maestria/10-rubrica-final/03-checklist-entrega-para-entrevista.md	no	no	P0	missing_mermaid_and_snippet
iOS	05-maestria	11. Cómo Hablar de Arquitectura en una Entrevista	05-maestria/11-entrevista-arquitecto.md	no	no	P0	missing_mermaid_and_snippet
iOS	05-maestria	12. Arquitectura Adaptativa: Más Allá del Patrón	05-maestria/12-arquitectura-adaptativa.md	no	yes	P1	missing_mermaid
iOS	05-maestria	Entregables Etapa 5 — Maestría	05-maestria/entregables-etapa-5.md	yes	yes	P2	ok
Android	00-core-mobile	Core Mobile Architecture	00-core-mobile/00-introduccion.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Marco de decisiones arquitectónicas	00-core-mobile/01-marco-de-decisiones.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Invariantes y contratos	00-core-mobile/02-invariantes-y-contratos.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Variabilidad y evolución sin caos	00-core-mobile/03-variabilidad-y-evolucion.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Calidad PR-ready	00-core-mobile/04-calidad-pr-ready.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Observabilidad y operación	00-core-mobile/05-observabilidad-operacion.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Release, rollback y feature flags	00-core-mobile/06-release-rollback-flags.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	APIs, contratos y versionado	00-core-mobile/07-apis-contratos-versionado.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Seguridad, privacidad y threat modeling	00-core-mobile/08-seguridad-privacidad-threat-modeling.md	no	no	P0	missing_mermaid_and_snippet
